"vendas","descontos","venda_líquida","qtd_unidades","lucro","custo_entrega","custo_implicito","prioridades_pedidos","categorias_produto","sub_categorias_produto","modo_entrega"
124.56,0.04,119.5776,32,-14.33,2.0,131.9076,MEDIUM,OFFICE SUPPLIES,RUBBER BANDS,REGULAR AIR
196.85,0.01,194.8815,45,-166.85,6.18,355.5515,MEDIUM,OFFICE SUPPLIES,PAPER,REGULAR AIR
4679.1,0.05,4445.145,26,111.52,29.21,4304.415,CRITICAL,FURNITURE,TABLES,DELIVERY TRUCK
823.63,0.03,798.9211,44,375.02,3.77,420.13110000000006,NOT SPECIFIED,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR
286.73,0.05,272.3935,42,-141.51,7.49,406.4135,NOT SPECIFIED,OFFICE SUPPLIES,PAPER,REGULAR AIR
3819.42,0.1,3437.478,44,-821.87,42.0,4217.348,LOW,FURNITURE,CHAIRS & CHAIRMATS,DELIVERY TRUCK
208.78,0.05,198.341,42,24.87,2.03,171.441,LOW,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR
2692.6895,0.03,2611.908815,49,768.32,4.2,1839.3888149999998,MEDIUM,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR
151.19,0.03,146.6543,38,60.63,0.71,85.3143,MEDIUM,OFFICE SUPPLIES,RUBBER BANDS,REGULAR AIR
102.73,0.03,99.6481,16,16.33,2.5,80.8181,NOT SPECIFIED,OFFICE SUPPLIES,ENVELOPES,REGULAR AIR
167.37,0.1,150.633,4,-132.15,4.0,278.783,HIGH,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR
1026.6385,0.0,1026.6385,18,-201.05,19.99,1207.6985,HIGH,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR
2405.4575,0.01,2381.402925,40,571.54,7.69,1802.1729249999999,CRITICAL,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR
