"ord_id","prod_id","ship_id","vendas","descontos","qtd_unidades","profit","shipping_cost","base_margin","venda_por_unidade","lucro_por_unidade","custo_por_unidade","custo_implicito"
Ord_5446,Prod_16,SHP_7609,136.81,0.01,23,-30.51,3.6,0.56,5.9482608695652175,-1.326521739130435,0.1565217391304348,162.3519
Ord_5406,Prod_13,SHP_7549,42.27,0.01,13,4.56,0.93,0.54,3.2515384615384617,0.3507692307692307,0.07153846153846154,36.3573
Ord_5446,Prod_4,SHP_7610,4701.69,0.0,26,1148.9,2.5,0.59,180.83423076923074,44.18846153846154,0.09615384615384616,3550.2899999999995
Ord_5456,Prod_6,SHP_7625,2337.89,0.09,43,729.34,14.3,0.37,54.369534883720924,16.96139534883721,0.3325581395348837,1383.8398999999995
Ord_5485,Prod_17,SHP_7664,4233.15,0.08,35,1219.87,26.3,0.38,120.94714285714285,34.853428571428566,0.7514285714285714,2648.3279999999995
Ord_5446,Prod_6,SHP_7608,164.02,0.03,23,-47.64,6.15,0.37,7.131304347826087,-2.071304347826087,0.2673913043478261,200.5894
Ord_31,Prod_12,SHP_41,14.76,0.01,5,1.32,0.5,0.36,2.952,0.264,0.1,12.792399999999999
Ord_4725,Prod_4,SHP_6593,3410.1575,0.1,48,1137.91,0.99,0.55,71.04494791666666,23.706458333333334,0.020625,1930.24175
Ord_4725,Prod_13,SHP_6593,162.0,0.01,33,45.84,0.71,0.52,4.909090909090909,1.3890909090909092,0.021515151515151515,113.82999999999998
Ord_4725,Prod_6,SHP_6593,57.22,0.07,8,-27.72,6.6,0.37,7.1525,-3.465,0.825,74.3346
Ord_4743,Prod_2,SHP_6615,4072.01,0.01,43,1675.98,0.99,0.56,94.69790697674419,38.97627906976744,0.023023255813953487,2354.3199000000004
Ord_1925,Prod_6,SHP_2637,465.9,0.05,38,79.34,4.86,0.38,12.260526315789473,2.0878947368421055,0.12789473684210528,358.405
Ord_2978,Prod_16,SHP_4112,305.05,0.04,27,23.12,3.37,0.57,11.29814814814815,0.8562962962962963,0.12481481481481482,266.358
Ord_2207,Prod_10,SHP_3006,1410.93,0.08,10,-317.48,36.09,0.77,141.09300000000002,-31.748,3.6090000000000004,1579.4456000000002
Ord_2280,Prod_5,SHP_3114,460.69,0.06,48,-103.48,7.29,0.45,9.597708333333333,-2.1558333333333333,0.151875,529.2386
