"ord_id","prioridade_pedidos","data_pedido"
Ord_1,LOW,2010-10-13
Ord_2,HIGH,2012-10-01
Ord_3,HIGH,2011-07-10
Ord_4,NOT SPECIFIED,2010-08-28
Ord_5,HIGH,2011-06-17
Ord_6,HIGH,2011-03-24
Ord_7,LOW,2010-02-26
Ord_8,MEDIUM,2010-11-23
Ord_9,NOT SPECIFIED,2012-06-08
Ord_10,NOT SPECIFIED,2012-08-04
Ord_11,MEDIUM,2011-05-30
Ord_12,NOT SPECIFIED,2009-11-25
Ord_13,CRITICAL,2012-02-14
Ord_14,LOW,2012-04-15
Ord_15,NOT SPECIFIED,2010-03-12
Ord_16,LOW,2011-03-09
Ord_17,HIGH,2012-08-04
Ord_18,HIGH,2011-05-06
Ord_19,HIGH,2010-12-23
Ord_20,LOW,2010-11-08
Ord_21,NOT SPECIFIED,2012-10-21
Ord_22,NOT SPECIFIED,2011-01-01
Ord_23,HIGH,2011-10-10
Ord_24,LOW,2010-09-23
Ord_25,CRITICAL,2011-07-19
Ord_26,HIGH,2009-10-09
Ord_27,NOT SPECIFIED,2010-12-09
Ord_28,CRITICAL,2012-10-08
Ord_29,HIGH,2012-05-02
Ord_30,MEDIUM,2010-03-08
Ord_31,NOT SPECIFIED,2011-05-28
Ord_32,MEDIUM,2010-09-19
Ord_33,HIGH,2011-08-31
Ord_34,NOT SPECIFIED,2011-07-08
Ord_35,CRITICAL,2009-01-30
Ord_36,LOW,2012-01-08
Ord_37,CRITICAL,2010-11-07
Ord_38,NOT SPECIFIED,2010-04-29
Ord_39,NOT SPECIFIED,2011-12-31
Ord_40,HIGH,2009-08-12
Ord_41,LOW,2011-11-12
Ord_42,HIGH,2012-01-20
Ord_43,MEDIUM,2009-03-20
Ord_44,LOW,2012-07-21
Ord_45,CRITICAL,2012-06-12
Ord_46,LOW,2009-01-15
Ord_47,LOW,2010-06-04
Ord_48,NOT SPECIFIED,2010-02-18
Ord_49,NOT SPECIFIED,2011-11-16
Ord_50,LOW,2011-08-07
Ord_51,MEDIUM,2010-06-08
Ord_52,MEDIUM,2009-10-17
Ord_53,HIGH,2011-08-28
Ord_54,CRITICAL,2011-09-29
Ord_55,LOW,2012-05-04
Ord_56,HIGH,2011-05-17
Ord_57,MEDIUM,2009-11-17
Ord_58,NOT SPECIFIED,2011-10-10
Ord_59,NOT SPECIFIED,2012-10-07
Ord_60,MEDIUM,2011-08-13
Ord_61,HIGH,2011-08-16
Ord_62,LOW,2009-03-04
Ord_63,CRITICAL,2009-08-18
Ord_64,NOT SPECIFIED,2010-11-16
Ord_65,LOW,2011-05-27
Ord_66,NOT SPECIFIED,2010-08-23
Ord_67,NOT SPECIFIED,2011-08-19
Ord_68,MEDIUM,2012-01-03
Ord_69,HIGH,2012-11-29
Ord_70,MEDIUM,2012-03-17
Ord_71,LOW,2010-04-12
Ord_72,HIGH,2010-08-24
Ord_73,HIGH,2011-07-04
Ord_74,CRITICAL,2010-11-10
Ord_75,CRITICAL,2010-06-24
Ord_76,MEDIUM,2012-09-19
Ord_77,LOW,2011-12-24
Ord_78,MEDIUM,2012-03-23
Ord_79,CRITICAL,2011-10-15
Ord_80,CRITICAL,2010-08-07
Ord_81,LOW,2009-03-03
Ord_82,LOW,2010-02-09
Ord_83,CRITICAL,2009-01-17
Ord_84,CRITICAL,2010-08-30
Ord_85,HIGH,2009-09-11
Ord_86,NOT SPECIFIED,2009-07-16
Ord_87,LOW,2012-11-15
Ord_88,LOW,2011-09-10
Ord_89,NOT SPECIFIED,2011-04-10
Ord_90,HIGH,2011-10-09
Ord_91,CRITICAL,2012-10-23
Ord_92,LOW,2012-01-08
Ord_93,NOT SPECIFIED,2010-01-25
Ord_94,NOT SPECIFIED,2011-01-27
Ord_95,HIGH,2009-08-27
Ord_96,CRITICAL,2011-03-17
Ord_97,CRITICAL,2012-06-06
Ord_98,HIGH,2011-04-11
Ord_99,LOW,2012-11-06
Ord_100,HIGH,2012-05-16
Ord_101,NOT SPECIFIED,2012-04-09
Ord_102,MEDIUM,2012-08-05
Ord_103,NOT SPECIFIED,2009-07-22
