"ship_id","modo_entrega","data_pedido"
SHP_1,REGULAR AIR,2010-10-20
SHP_2,DELIVERY TRUCK,2012-10-02
SHP_3,REGULAR AIR,2012-10-03
SHP_4,REGULAR AIR,2011-07-12
SHP_5,REGULAR AIR,2010-08-30
SHP_6,REGULAR AIR,2011-06-17
SHP_7,REGULAR AIR,2011-06-18
SHP_8,EXPRESS AIR,2011-03-25
SHP_9,REGULAR AIR,2010-02-26
SHP_10,REGULAR AIR,2010-11-24
SHP_11,REGULAR AIR,2012-06-09
SHP_12,REGULAR AIR,2012-06-10
SHP_13,REGULAR AIR,2012-08-04
SHP_14,REGULAR AIR,2011-05-31
SHP_15,REGULAR AIR,2009-11-26
SHP_16,DELIVERY TRUCK,2012-02-16
SHP_17,REGULAR AIR,2012-02-16
SHP_18,REGULAR AIR,2012-04-22
SHP_19,REGULAR AIR,2012-04-19
SHP_20,EXPRESS AIR,2010-03-14
SHP_21,REGULAR AIR,2010-03-14
SHP_22,REGULAR AIR,2011-03-11
SHP_23,REGULAR AIR,2011-03-14
SHP_24,REGULAR AIR,2012-08-06
SHP_25,REGULAR AIR,2011-05-07
SHP_26,DELIVERY TRUCK,2010-12-25
SHP_27,REGULAR AIR,2010-11-13
SHP_28,REGULAR AIR,2012-10-22
SHP_29,REGULAR AIR,2011-01-02
SHP_30,REGULAR AIR,2011-01-03
SHP_31,REGULAR AIR,2011-10-11
SHP_32,REGULAR AIR,2010-09-25
SHP_33,DELIVERY TRUCK,2011-07-19
SHP_34,REGULAR AIR,2009-10-09
SHP_35,DELIVERY TRUCK,2009-10-11
SHP_36,REGULAR AIR,2009-10-10
SHP_37,DELIVERY TRUCK,2010-12-11
SHP_38,REGULAR AIR,2012-10-10
SHP_39,REGULAR AIR,2012-05-03
SHP_40,REGULAR AIR,2010-03-08
SHP_41,REGULAR AIR,2011-05-30
SHP_42,REGULAR AIR,2010-09-21
SHP_43,REGULAR AIR,2011-09-01
SHP_44,REGULAR AIR,2011-09-02
SHP_45,EXPRESS AIR,2011-09-02
SHP_46,REGULAR AIR,2011-07-10
SHP_47,REGULAR AIR,2009-02-01
SHP_48,REGULAR AIR,2012-01-13
SHP_49,REGULAR AIR,2010-11-08
SHP_50,REGULAR AIR,2010-05-01
SHP_51,REGULAR AIR,2012-01-03
SHP_52,REGULAR AIR,2009-08-13
SHP_53,REGULAR AIR,2009-08-15
SHP_54,REGULAR AIR,2011-11-19
SHP_55,REGULAR AIR,2012-01-20
SHP_56,REGULAR AIR,2009-03-22
SHP_57,REGULAR AIR,2012-07-28
SHP_58,EXPRESS AIR,2012-07-25
SHP_59,EXPRESS AIR,2012-06-15
SHP_60,REGULAR AIR,2009-01-20
SHP_61,EXPRESS AIR,2010-06-08
SHP_62,REGULAR AIR,2010-02-19
SHP_63,EXPRESS AIR,2011-11-18
SHP_64,DELIVERY TRUCK,2011-11-18
SHP_65,REGULAR AIR,2011-11-18
SHP_66,REGULAR AIR,2011-08-11
SHP_67,REGULAR AIR,2010-06-09
SHP_68,REGULAR AIR,2009-10-17
SHP_69,DELIVERY TRUCK,2011-08-29
SHP_70,EXPRESS AIR,2011-10-01
SHP_71,REGULAR AIR,2011-09-30
SHP_72,REGULAR AIR,2012-05-08
SHP_73,EXPRESS AIR,2011-05-18
SHP_74,REGULAR AIR,2011-05-18
SHP_75,REGULAR AIR,2011-05-19
SHP_76,REGULAR AIR,2009-11-18
SHP_77,EXPRESS AIR,2011-10-12
SHP_78,DELIVERY TRUCK,2012-10-08
SHP_79,EXPRESS AIR,2012-10-08
SHP_80,REGULAR AIR,2012-10-07
SHP_81,REGULAR AIR,2011-08-16
SHP_82,DELIVERY TRUCK,2011-08-17
SHP_83,REGULAR AIR,2011-08-17
SHP_84,EXPRESS AIR,2011-08-17
SHP_85,REGULAR AIR,2009-03-04
SHP_86,REGULAR AIR,2009-08-20
SHP_87,DELIVERY TRUCK,2010-11-17
SHP_88,REGULAR AIR,2011-05-29
SHP_89,REGULAR AIR,2011-06-03
SHP_90,EXPRESS AIR,2010-08-24
SHP_91,REGULAR AIR,2011-08-21
SHP_92,REGULAR AIR,2012-01-05
SHP_93,REGULAR AIR,2012-11-30
SHP_94,REGULAR AIR,2012-03-18
SHP_95,REGULAR AIR,2010-04-19
SHP_96,REGULAR AIR,2010-08-26
SHP_97,DELIVERY TRUCK,2011-07-05
SHP_98,REGULAR AIR,2010-11-12
SHP_99,REGULAR AIR,2010-06-25
SHP_100,DELIVERY TRUCK,2010-06-25
